Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-brqh,checkpoint-xp91,checkpoint-i6ra,checkpoint-zs2s,checkpoint-a47v,checkpoint-1q1l,checkpoint-ulk4,checkpoint-84fo,checkpoint-satt,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fname,PCimageLeft,PCimageRight,LDimageLeft,LDimageRight,ShowProgressBar,LDbuttonLeft,LDbuttonRight,CorrectAnswer,PCbuttonLeft,PCbuttonRight,
255,1568313150009,12/09/2019 18:32:30,1568313149871,-4,12/09/2019 14:32:29,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,114,83,3,Screen 1,fixation,fixation,999.9599999999919,,,0,1,0,,,,,1,LD-S,NW051_kelabidel.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
256,1568313150838,12/09/2019 18:32:30,1568313150712,-4,12/09/2019 14:32:30,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,85,84,1,Fixation,Zone1,content_audio,832.6000003144145,,,0,1,0,,,,,1,LD-S,NW023_durkuwomt.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
257,1568313151213,12/09/2019 18:32:31,1568313151073,-4,12/09/2019 14:32:31,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,85,84,2,LD screen,Zone1,response_keyboard_single,356.4149998128414,no,1,1,0,0,,,,,1,LD-S,NW023_durkuwomt.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
258,1568313152197,12/09/2019 18:32:32,1568313152071,-4,12/09/2019 14:32:32,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,85,84,3,Screen 1,fixation,fixation,999.960000000021,,,0,1,0,,,,,1,LD-S,NW023_durkuwomt.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
259,1568313152900,12/09/2019 18:32:32,1568313152772,-4,12/09/2019 14:32:32,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,50,85,1,Fixation,Zone1,content_audio,692.5599998794496,,,0,1,0,,,,,1,LD-S,FW048_pineapple.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
260,1568313153181,12/09/2019 18:32:33,1568313153049,-4,12/09/2019 14:32:33,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,50,85,2,LD screen,Zone3,response_keyboard_single,272.37999998033047,yes,1,1,0,0,,,,,1,LD-S,FW048_pineapple.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
261,1568313154169,12/09/2019 18:32:34,1568313154037,-4,12/09/2019 14:32:34,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,50,85,3,Screen 1,fixation,fixation,999.9599999999919,,,0,1,0,,,,,1,LD-S,FW048_pineapple.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
262,1568313154857,12/09/2019 18:32:34,1568313154732,-4,12/09/2019 14:32:34,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,169,86,1,Fixation,Zone1,content_audio,685.9149998053908,,,0,1,0,,,,,1,LD-S,SH006_CLR_crucial.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
263,1568313155326,12/09/2019 18:32:35,1568313155201,-4,12/09/2019 14:32:35,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,169,86,2,LD screen,Zone3,response_keyboard_single,463.7750000692904,yes,1,1,0,0,,,,,1,LD-S,SH006_CLR_crucial.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
264,1568313156326,12/09/2019 18:32:36,1568313156187,-4,12/09/2019 14:32:36,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,169,86,3,Screen 1,fixation,fixation,999.9599999999919,,,0,1,0,,,,,1,LD-S,SH006_CLR_crucial.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
265,1568313157077,12/09/2019 18:32:37,1568313156952,-4,12/09/2019 14:32:36,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,28,87,1,Fixation,Zone1,content_audio,756.0649998486042,,,0,1,0,,,,,1,LD-S,FW026_inhabit.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
266,1568313157498,12/09/2019 18:32:37,1568313157361,-4,12/09/2019 14:32:37,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,28,87,2,LD screen,Zone3,response_keyboard_single,403.91499968245625,yes,1,1,0,0,,,,,1,LD-S,FW026_inhabit.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
267,1568313158483,12/09/2019 18:32:38,1568313158354,-4,12/09/2019 14:32:38,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,28,87,3,Screen 1,fixation,fixation,999.9599999999919,,,0,1,0,,,,,1,LD-S,FW026_inhabit.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
