Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-brqh,checkpoint-xp91,checkpoint-i6ra,checkpoint-zs2s,checkpoint-a47v,checkpoint-1q1l,checkpoint-ulk4,checkpoint-84fo,checkpoint-satt,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,fname,PCimageLeft,PCimageRight,LDimageLeft,LDimageRight,ShowProgressBar,LDbuttonLeft,LDbuttonRight,CorrectAnswer,PCbuttonLeft,PCbuttonRight,
1,1568312954182,12/09/2019 18:29:14,1568312953989,-4,12/09/2019 14:29:13,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,,,BEGIN TASK,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
2,1568312956562,12/09/2019 18:29:16,1568312956440,-4,12/09/2019 14:29:16,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,1,1,1,Screen 1,advancementZone,continue_button,2405.2650001831353,,,0,1,0,,,,,,Welcome,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
3,1568312958391,12/09/2019 18:29:18,1568312958255,-4,12/09/2019 14:29:18,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,1,Screen 1,advancementZone,continue_button,1802.4749998003244,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
4,1568312961063,12/09/2019 18:29:21,1568312960944,-4,12/09/2019 14:29:20,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,2,Screen 2,Zone3,continue_button,2682.2700002230704,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
5,1568312969276,12/09/2019 18:29:29,1568312969167,-4,12/09/2019 14:29:29,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,3,Screen 3,Zone4,continue_button,8216.74000006169,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
6,1568312973174,12/09/2019 18:29:33,1568312973063,-4,12/09/2019 14:29:33,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,2,1,4,Screen 4,Zone2,continue_button,3890.4849998652935,,,0,1,0,,,,,,LD Instructions,,sign.jpg,sun.gif,X.png,Check.png,,no,yes,,sign,shine,
7,1568312974065,12/09/2019 18:29:34,1568312973922,-4,12/09/2019 14:29:33,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,126,1,1,Fixation,Zone1,content_audio,842.3650003969669,,,0,1,0,,,,,1,LD-S,NW063_logelai.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
8,1568312975159,12/09/2019 18:29:35,1568312975044,-4,12/09/2019 14:29:35,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,126,1,2,LD screen,Zone1,response_keyboard_single,1115.7050002366304,no,1,1,0,0,,,,,1,LD-S,NW063_logelai.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
9,1568312976143,12/09/2019 18:29:36,1568312976034,-4,12/09/2019 14:29:36,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,126,1,3,Screen 1,fixation,fixation,999.9600000000028,,,0,1,0,,,,,1,LD-S,NW063_logelai.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
10,1568312977096,12/09/2019 18:29:37,1568312976982,-4,12/09/2019 14:29:36,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,185,2,1,Fixation,Zone1,content_audio,937.5499999150634,,,0,1,0,,,,,1,LD-S,SS002_AMB_colosseum.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
11,1568312977361,12/09/2019 18:29:37,1568312977243,-4,12/09/2019 14:29:37,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,185,2,2,LD screen,Zone3,response_keyboard_single,255.45499986037612,yes,1,1,0,0,,,,,1,LD-S,SS002_AMB_colosseum.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
12,1568312978346,12/09/2019 18:29:38,1568312978234,-4,12/09/2019 14:29:38,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,185,2,3,Screen 1,fixation,fixation,999.9600000000028,,,0,1,0,,,,,1,LD-S,SS002_AMB_colosseum.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
13,1568312979097,12/09/2019 18:29:39,1568312978962,-4,12/09/2019 14:29:38,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,83,3,1,Fixation,Zone1,content_audio,716.9349999167025,,,0,1,0,,,,,1,LD-S,NW021_dadigal.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
14,1568312979364,12/09/2019 18:29:39,1568312979243,-4,12/09/2019 14:29:39,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,83,3,2,LD screen,Zone1,response_keyboard_single,275.84500005468726,no,1,1,0,0,,,,,1,LD-S,NW021_dadigal.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
15,1568312980347,12/09/2019 18:29:40,1568312980234,-4,12/09/2019 14:29:40,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,83,3,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW021_dadigal.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
16,1568312981175,12/09/2019 18:29:41,1568312981061,-4,12/09/2019 14:29:41,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,166,4,1,Fixation,Zone1,content_audio,817.8249998018146,,,0,1,0,,,,,1,LD-S,SH003_CLR_brochure.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
17,1568312981458,12/09/2019 18:29:41,1568312981338,-4,12/09/2019 14:29:41,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,166,4,2,LD screen,Zone3,response_keyboard_single,271.9700001180172,yes,1,1,0,0,,,,,1,LD-S,SH003_CLR_brochure.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
18,1568312982457,12/09/2019 18:29:42,1568312982334,-4,12/09/2019 14:29:42,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,166,4,3,Screen 1,fixation,fixation,999.9600000000028,,,0,1,0,,,,,1,LD-S,SH003_CLR_brochure.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
19,1568312983255,12/09/2019 18:29:43,1568312983142,-4,12/09/2019 14:29:43,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,160,5,1,Fixation,Zone1,content_audio,797.5749997422099,,,0,1,0,,,,,1,LD-S,NW097_wojalto.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
20,1568312983474,12/09/2019 18:29:43,1568312983362,-4,12/09/2019 14:29:43,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,160,5,2,LD screen,Zone1,response_keyboard_single,215.66999983042479,no,1,1,0,0,,,,,1,LD-S,NW097_wojalto.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
21,1568312984472,12/09/2019 18:29:44,1568312984350,-4,12/09/2019 14:29:44,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,160,5,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW097_wojalto.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
22,1568312985113,12/09/2019 18:29:45,1568312985001,-4,12/09/2019 14:29:45,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,11,6,1,Fixation,Zone1,content_audio,642.199999652803,,,0,1,0,,,,,1,LD-S,FW009_camera.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
23,1568312985441,12/09/2019 18:29:45,1568312985322,-4,12/09/2019 14:29:45,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,11,6,2,LD screen,Zone3,response_keyboard_single,315.97999995574355,yes,1,1,0,0,,,,,1,LD-S,FW009_camera.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
24,1568312986442,12/09/2019 18:29:46,1568312986317,-4,12/09/2019 14:29:46,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,11,6,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,FW009_camera.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
25,1568312987366,12/09/2019 18:29:47,1568312987242,-4,12/09/2019 14:29:47,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,55,7,1,Fixation,Zone1,content_audio,915.5349996872246,,,0,1,0,,,,,1,LD-S,FW053_titanium.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
26,1568312987461,12/09/2019 18:29:47,1568312987346,-4,12/09/2019 14:29:47,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,55,7,2,LD screen,Zone3,response_keyboard_single,98.66499993950129,yes,1,1,0,0,,,,,1,LD-S,FW053_titanium.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
27,1568312988445,12/09/2019 18:29:48,1568312988333,-4,12/09/2019 14:29:48,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,55,7,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,FW053_titanium.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,yes,sign,shine,
28,1568312989304,12/09/2019 18:29:49,1568312989181,-4,12/09/2019 14:29:49,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,118,8,1,Fixation,Zone1,content_audio,838.6000003665686,,,0,1,0,,,,,1,LD-S,NW055_kloumidiger.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
29,1568312989554,12/09/2019 18:29:49,1568312989435,-4,12/09/2019 14:29:49,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,118,8,2,LD screen,Zone1,response_keyboard_single,248.7099999561906,no,1,1,0,0,,,,,1,LD-S,NW055_kloumidiger.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
30,1568312990554,12/09/2019 18:29:50,1568312990434,-4,12/09/2019 14:29:50,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,118,8,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW055_kloumidiger.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
31,1568312991273,12/09/2019 18:29:51,1568312991161,-4,12/09/2019 14:29:51,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,103,9,1,Fixation,Zone1,content_audio,719.1800000146031,,,0,1,0,,,,,1,LD-S,NW040_hintarber.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
32,1568312991585,12/09/2019 18:29:51,1568312991466,-4,12/09/2019 14:29:51,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,103,9,2,LD screen,Zone1,response_keyboard_single,300.1149999909103,no,1,1,0,0,,,,,1,LD-S,NW040_hintarber.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
33,1568312992570,12/09/2019 18:29:52,1568312992451,-4,12/09/2019 14:29:52,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,103,9,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW040_hintarber.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
34,1568312993242,12/09/2019 18:29:53,1568312993121,-4,12/09/2019 14:29:53,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,157,10,1,Fixation,Zone1,content_audio,661.0499997623265,,,0,1,0,,,,,1,LD-S,NW094_waiper.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
35,1568312993523,12/09/2019 18:29:53,1568312993402,-4,12/09/2019 14:29:53,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,157,10,2,LD screen,Zone1,response_keyboard_single,276.19999973103404,no,1,1,0,0,,,,,1,LD-S,NW094_waiper.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
36,1568312994523,12/09/2019 18:29:54,1568312994400,-4,12/09/2019 14:29:54,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,157,10,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW094_waiper.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
37,1568312995460,12/09/2019 18:29:55,1568312995321,-4,12/09/2019 14:29:55,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,133,11,1,Fixation,Zone1,content_audio,911.6799999028444,,,0,1,0,,,,,1,LD-S,NW070_neramgory.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
38,1568312995648,12/09/2019 18:29:55,1568312995530,-4,12/09/2019 14:29:55,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,133,11,2,LD screen,Zone1,response_keyboard_single,203.80500005558133,no,1,1,0,0,,,,,1,LD-S,NW070_neramgory.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
39,1568312996632,12/09/2019 18:29:56,1568312996515,-4,12/09/2019 14:29:56,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,133,11,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW070_neramgory.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
40,1568312997538,12/09/2019 18:29:57,1568312997419,-4,12/09/2019 14:29:57,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,77,12,1,Fixation,Zone1,content_audio,895.6749998033047,,,0,1,0,,,,,1,LD-S,NW015_bikanian.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
41,1568312997869,12/09/2019 18:29:57,1568312997648,-4,12/09/2019 14:29:57,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,77,12,2,LD screen,Zone1,response_keyboard_single,223.43000024557114,no,1,1,0,0,,,,,1,LD-S,NW015_bikanian.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
42,1568312998773,12/09/2019 18:29:58,1568312998648,-4,12/09/2019 14:29:58,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,77,12,3,Screen 1,fixation,fixation,999.9599999999991,,,0,1,0,,,,,1,LD-S,NW015_bikanian.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
43,1568312999695,12/09/2019 18:29:59,1568312999559,-4,12/09/2019 14:29:59,9466,11,task-2b3t,,3061906,BLIND,846765,,complete,,5d7a8e28f165fb00157cc77c,computer,Desktop or Laptop,Windows 7,Chrome 76.0.3809.132,1920x1080,1920x937,Finished Session 1,Block LGPL task - Counterbalanced via spreadsheet,24,Yes,Pass,Pass,,,S_SH_4,,,,Finished Session 1,,,,,S_SH_4,93,13,1,Fixation,Zone1,content_audio,900.5749998614192,,,0,1,0,,,,,1,LD-S,NW031_gerubalo.mp3,sign.jpg,sun.gif,X.png,Check.png,1,no,yes,no,sign,shine,
